home_team,away_team
Everton,Liverpool
AFC Bournemouth,Crystal Palace
Brighton and Hove Albion,Huddersfield Town
Leicester City,Newcastle United
Stoke City,Tottenham Hotspur
Watford,Burnley
West Bromwich Albion,Swansea City
Manchester City,Manchester United
Arsenal,Southampton
Chelsea,West Ham United
Southampton,Chelsea
Burnley,Leicester City
Crystal Palace,Brighton and Hove Albion
Huddersfield Town,Watford
Swansea City,Everton
Liverpool,AFC Bournemouth
Tottenham Hotspur,Manchester City
Newcastle United,Arsenal
Manchester United,West Bromwich Albion
West Ham United,Stoke City
Brighton and Hove Albion,Tottenham Hotspur
AFC Bournemouth,Manchester United
Burnley,Chelsea
Leicester City,Southampton
West Bromwich Albion,Liverpool
Watford,Crystal Palace
Arsenal,West Ham United
Stoke City,Burnley
Manchester City,Swansea City
Everton,Newcastle United
Liverpool,Stoke City
Burnley,Brighton and Hove Albion
Crystal Palace,Leicester City
Huddersfield Town,Everton
Newcastle United,West Bromwich Albion
Southampton,AFC Bournemouth
Swansea City,Chelsea
West Ham United,Manchester City
Manchester United,Arsenal
Tottenham Hotspur,Watford
Brighton and Hove Albion,Manchester United
Stoke City,Crystal Palace
AFC Bournemouth,Swansea City
Leicester City,West Ham United
Watford,Newcastle United
West Bromwich Albion,Tottenham Hotspur
Everton,Southampton
Manchester City,Huddersfield Town
Arsenal,Burnley
Chelsea,Liverpool
Swansea City,Southampton
Chelsea,Huddersfield Town
Leicester City,Arsenal
Manchester City,Brighton and Hove Albion
Tottenham Hotspur,Newcastle United
West Ham United,Manchester United
Burnley,AFC Bournemouth
Crystal Palace,West Bromwich Albion
Huddersfield Town,Arsenal
Liverpool,Brighton and Hove Albion
Manchester United,Watford
Newcastle United,Chelsea
Southampton,Manchester City
Swansea City,Stoke City
Tottenham Hotspur,Leicester City
West Ham United,Everton
